"Production of metallic, non-metallic, aggregates, clay and refractory minerals in quantities, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 16-10-0022-01"
"Release date: 2026-02-25"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada",,,,,,
,"Closing inventories 10","1,783,828","1,498,896","1,785,652","1,656,013","1,859,843","2,111,972",".."
"Potash, potassium oxide (K2O) (metric tonnes) 8 15","Quantity produced","12,820,345","13,732,918","14,265,325","14,413,125","14,028,936","15,132,245","15,141,025p"
,"Quantity shipped","12,685,799","13,904,476","14,046,989","13,804,043","14,463,457","14,972,884","15,405,281p"
,"Closing inventories 10","1,085,802","896,639","1,080,134","1,088,018","768,170","905,720",".."
"Potassium sulphate (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Pumice (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Salt (metric tonnes) 16 17","Quantity produced","11,896,659","13,524,905","9,798,660","13,123,775","10,656,043","8,787,965","9,702,902p"
,"Quantity shipped","11,797,841","12,885,214","9,986,948","12,240,410","10,606,645","8,420,486","8,969,161p"
,"Closing inventories 10","554,746","1,174,093","2,274,496","2,551,772","2,372,316","x",".."
"Salt, fine vacuum (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Salt, in brine (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Salt, rock (metric tonnes) 15","Quantity produced","10,971,834","12,409,136","8,740,281","12,071,531","9,599,647","7,634,903","8,500,875p"
,"Quantity shipped","10,857,677","11,730,644","8,777,192","11,203,564","9,588,843","7,272,569","7,764,030p"
,"Closing inventories 10","x","1,119,258","x","x","x","x",".."
"Serpentine (metric tonnes) 15","Quantity produced","0","0","0","0","0","0","0p"
,"Quantity shipped","0","0","0","0","0","0","0p"
,"Closing inventories 10","0","0","0","0","0","0",".."
"Soapstone, pyrophyllite and talc (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Sodium sulphate (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Wollastonite (metric tonnes) 15","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","0",".."
"Zeolite (metric tonnes) 15","Quantity produced","1,059","0","1,200","510","565","0","0p"
,"Quantity shipped","x","0","1,200","510","509","0","0p"
,"Closing inventories 10","x","x","x","x","x","0",".."
"Clay (metric tonnes) 18","Quantity produced","634,247","234,530","226,019","347,648","284,594","427,090","432,826p"
,"Quantity shipped","363,673","211,871","232,775","319,240","272,803","410,708","429,603p"
,"Closing inventories 10","434,667","71,486","390,668","94,766","200,549","217,497",".."
"Clay products (metric tonnes) 18","Quantity produced","249,738","453,422","332,305","362,338","350,255","112,294","196,867p"
,"Quantity shipped","383,725","336,354","298,658","336,455","358,274","173,496","227,547p"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Lime (metric tonnes) 18 19 20","Quantity produced","1,975,393","1,569,757","1,700,542","1,759,269","1,467,712","1,589,180","1,396,094p"
,"Quantity shipped","1,976,331","1,526,844","1,623,766","1,675,997","1,294,343","1,486,466","1,359,780p"
,"Closing inventories 10","25,754","53,430","124,556","204,387","223,493","243,722",".."
"Lime, quicklime (metric tonnes) 18","Quantity produced","1,815,297","1,390,966","1,521,231","1,589,153","1,304,406","1,416,610","1,236,108p"
,"Quantity shipped","1,816,556","1,354,513","1,444,293","1,508,788","1,140,363","1,321,831","1,204,355p"
,"Closing inventories 10","24,746","50,064","120,374","197,186","211,837","232,116",".."
"Lime, hydrated lime (metric tonnes) 18","Quantity produced","160,096","178,791","179,311","170,116","163,306","172,570","159,986p"
,"Quantity shipped","159,775","172,331","179,473","167,209","153,980","164,635","155,425p"
,"Closing inventories 10","1,008","3,366","4,182","7,201","11,656","11,606",".."
"Magnesite (metric tonnes) 18","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Nepheline syenite (metric tonnes) 18","Quantity produced","519,989","657,774","689,600","771,082","1,267,466","x","xp"
,"Quantity shipped","523,589","652,413","691,237","768,535","1,230,957","x","xp"
,"Closing inventories 10","x","x","x","x","x","x",".."
"Sand and gravel (metric tonnes) 6 19 21","Quantity produced","198,629,751","216,579,724","237,204,263","297,138,595","263,439,934","255,266,712","238,786,221p"
,"Quantity shipped","194,668,392","209,267,894","222,725,358","280,902,018","249,896,916","243,946,462","249,197,076p"
,"Closing inventories 10","102,104,448","130,579,509","128,317,632","126,641,935","164,501,938","152,384,938",".."
"Silica sand, quartz crude, quartz milled (metric tonnes) 6 18","Quantity produced","5,074,429","4,196,981","3,904,026","4,899,001","3,922,957","5,668,997","5,128,124p"
,"Quantity shipped","4,929,626","4,014,603","3,655,587","4,435,661","3,870,912","5,568,757","4,983,041p"
,"Closing inventories 10","857,520","862,425","1,020,844","1,689,889","1,349,577","2,025,660",".."
"Gravel (natural/crushed), natural sand (metric tonnes) 6 18","Quantity produced","193,555,322","212,382,743","233,300,237","292,239,594","259,516,977","249,597,715","233,658,097p"
,"Quantity shipped","189,738,766","205,253,291","219,069,771","276,466,357","246,026,004","238,377,705","244,214,035p"
,"Closing inventories 10","101,246,928","129,717,084","127,296,788","124,952,046","163,152,361","150,359,278",".."
"Stone (metric tonnes) 6 19 22","Quantity produced","154,957,540","166,836,978","194,970,458","176,173,771","170,179,086","165,768,719","147,031,995p"
,"Quantity shipped","154,793,740","162,589,732","183,731,783","164,934,807","155,968,352","154,341,262","137,087,991p"
,"Closing inventories 10","32,227,533","67,487,241","74,183,226","69,210,529","79,078,536","76,559,110",".."
"Granite (metric tonnes) 6 18","Quantity produced","48,021,710","47,636,619","54,976,881","52,047,455","54,568,665","47,890,364","44,794,372p"
,"Quantity shipped","47,652,789","47,196,449","53,189,316","47,884,053","49,322,202","45,472,491","42,037,826p"
,"Closing inventories 10","14,105,298","25,695,220","26,055,018","24,489,302","27,570,370","26,043,720",".."
"Limestone (metric tonnes) 6 18","Quantity produced","93,325,885","104,859,365","127,219,967","109,718,524","96,824,520","99,230,749","86,202,403p"
,"Quantity shipped","93,338,297","101,746,476","118,790,298","102,869,732","90,108,181","91,543,843","78,470,862p"
,"Closing inventories 10","15,561,941","33,010,283","39,955,576","37,152,391","40,187,932","38,020,312",".."
"Marble (metric tonnes) 6 18","Quantity produced","x","x","x","x","x","x","xp"
,"Quantity shipped","x","x","x","x","x","x","xp"
,"Closing inventories 10","x","x","x","37,478","x","x",".."
"Sandstone (metric tonnes) 6 18","Quantity produced","7,085,630","9,363,389","8,325,776","8,374,977","9,433,780","10,782,612","9,915,208p"
,"Quantity shipped","7,281,559","9,207,414","7,489,557","8,190,880","8,018,595","9,248,163","8,961,890p"
,"Closing inventories 10","1,858,776","6,408,006","5,685,131","5,064,975","6,734,957","9,315,301",".."
"Shale (metric tonnes) 6 18","Quantity produced","4,107,838","2,554,719","2,116,746","x","4,843,931","3,755,973","3,448,658p"
,"Quantity shipped","3,890,763","2,204,784","2,078,994","2,667,601","4,179,176","x","xp"
,"Closing inventories 10","x","1,540,358","1,245,193","890,197","x","x",".."
"Slate (metric tonnes) 6 18","Quantity produced","x","x","x","2,935,638","x","x","xp"
,"Quantity shipped","x","x","x","x","x","3,933,322","3,788,487p"
,"Closing inventories 10","x","x","x","1,576,186","2,462,766","1,957,853",".."

Symbol legend:
.., not available for a specific reference period
p, preliminary
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"The preliminary estimates of mineral production provide an early indication of the state of the mining sector in Canada. Mineral producers participating in the Annual Mineral Production Survey provide data on production quantities, shipment quantities and shipment values for the survey year collected along with forecasted values for the following year. Therefore, the revisions to preliminary estimates can show greater fluctuations than revisions to historical data."
2,"The Institut de la Statistique du Québec is responsible for the collection and processing of mineral production data from Quebec respondents on an annual basis."
3,"The sum may not add up to the total due to rounding."
