"Production of non-metallic minerals in quantities, monthly 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0020-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Diamonds (carats)","Quantity produced","1,316,505","1,423,826","1,380,941","x","x","x","x","x","x","1,158,669","1,288,780","1,131,590","1,313,412","1,322,562","1,401,305","1,482,887","1,435,155","1,556,225","1,276,753","1,510,682","1,337,209","1,787,084","1,383,366","1,430,818","1,482,226","1,091,605","1,283,430","1,181,072","1,334,607","1,431,222","1,302,916","1,302,265","1,459,582","1,485,928","1,450,272","1,568,370","1,507,408","1,288,598","1,171,480","1,305,511","1,318,887","1,383,235","1,376,160","1,348,633","1,261,357","1,338,761","1,023,936","1,257,401","1,189,955","1,066,377","879,647","1,116,060","1,054,390","1,067,510","1,010,664","1,071,895","884,053","1,012,137","925,148","715,482","880,296","822,225","770,362","845,356","846,976","1,076,386","975,430","923,672","862,315","1,039,452","1,175,623","1,259,994","996,056"
,"Quantity shipped","1,492,316","1,585,074","2,128,962","2,214,926","2,075,680","1,965,715","1,907,145","1,839,102","2,094,238","1,532,521","1,585,886","2,165,079","1,806,091","1,575,053","2,024,456","2,004,015","2,367,254","2,143,387","1,646,744","1,954,117","1,731,722","1,951,633","1,783,956","2,004,069","1,466,985","1,656,346","2,062,996","1,984,552","2,366,822","2,306,762","1,986,761","2,032,278","2,006,579","1,516,138","1,736,347","1,645,306","1,586,916","1,591,963","1,980,724","1,968,732","2,087,719","1,892,376","1,463,446","2,089,375","2,209,511","2,153,065","2,418,673","2,140,959","1,928,906","1,810,781","2,184,523","2,153,461","2,223,496","1,987,009","2,202,872","1,902,856","2,035,328","2,029,206","1,925,172","1,984,544","2,187,370","1,665,107","2,213,558","2,055,536","2,423,474","2,343,097","2,288,717","2,215,960","2,052,608","1,975,108","2,045,251","1,690,487","1,905,110"
,"Closing inventories","1,316,838","1,564,882","1,290,341","1,065,911","966,807","926,703","1,056,144","1,159,652","937,973","694,915","800,426","1,018,444","1,241,738","1,496,499","1,670,666","1,736,405","1,461,788","1,070,536","1,092,053","881,194","759,859","668,503","931,439","1,195,470","1,930,073","2,246,699","2,151,921","2,216,276","2,054,692","1,926,736","2,037,951","1,554,222","1,470,614","1,498,310","1,780,435","1,853,931","2,103,116","2,225,624","2,050,661","1,967,882","1,911,375","1,573,887","1,853,043","1,729,067","1,430,463","1,213,353","778,531","1,096,349","1,488,386","1,693,064","1,478,468","1,138,817","1,191,756","1,263,697","1,100,855","1,123,411","1,052,583","906,234","986,748","1,336,722","1,562,368","1,735,939","1,535,568","1,407,024","1,081,491","796,461","804,467","743,640","615,733","738,178","652,359","1,147,476","1,434,173"
"Potash, potassium oxide (K2O) (metric tonnes) 8","Quantity produced","1,081,443","1,042,940","1,145,317","1,204,571","1,222,793","1,181,886","1,253,437","1,195,226","1,165,074","793,693","1,036,015","1,461,135","1,286,242","1,117,520","1,345,465","1,266,837","1,269,468","1,074,509","1,023,373","1,069,682","991,691","1,146,275","1,258,682","1,394,728","1,388,181","1,178,146","1,206,104","1,257,430","1,356,642","1,340,189","1,273,406","1,101,872","1,111,747","1,068,352","1,244,997","1,066,412","1,159,946","1,053,508","1,107,902","1,155,786","1,246,433","965,336","1,070,534","1,204,697","1,169,399","1,187,918","1,215,219","1,506,368","1,420,076","1,235,007","1,207,252","1,111,220","1,394,935","1,275,573","1,283,781","1,247,954","1,212,768","1,155,523","1,231,384","1,428,559","1,479,785","1,010,815","1,232,795","1,180,323","1,284,590","1,265,005","1,406,281","1,319,890","1,179,309","1,257,065","1,224,619","1,337,955","1,343,155"
,"Quantity shipped","917,371","974,633","1,303,221","1,357,873","1,273,827","1,206,484","1,170,517","1,129,661","1,284,386","940,798","971,985","1,327,266","1,106,526","964,729","1,231,717","1,215,387","1,449,110","1,311,021","1,009,195","1,199,756","1,066,367","1,200,837","1,097,617","1,233,108","904,228","1,019,329","1,264,815","1,216,769","1,456,362","1,418,413","1,222,477","1,249,485","1,233,680","939,368","1,072,159","1,010,641","973,658","976,121","1,215,780","1,206,959","1,280,422","1,160,984","898,619","1,280,937","1,354,360","1,318,933","1,484,321","1,312,363","1,180,542","1,106,853","1,338,108","1,319,709","1,361,975","1,215,237","1,350,609","1,222,607","1,246,502","1,243,255","1,180,047","1,216,752","1,342,108","1,019,388","1,366,705","1,258,191","1,484,547","1,435,714","1,401,509","1,357,249","1,257,712","1,210,411","1,254,025","1,035,234","1,167,191"
,"Closing inventories","838,828","987,826","822,598","685,368","624,167","599,571","678,362","741,848","605,233","457,766","522,763","656,392","790,484","945,672","1,059,278","1,103,728","954,094","655,753","668,612","538,538","463,863","409,303","570,419","732,066","1,181,412","1,373,583","1,313,729","1,354,389","1,254,668","1,176,444","1,227,372","1,061,899","935,444","906,517","1,079,355","1,124,405","1,277,791","1,352,826","1,245,111","1,193,981","1,159,278","962,197","1,134,112","1,057,872","868,834","737,822","468,720","662,727","902,261","1,030,415","899,556","691,068","724,029","784,364","719,677","689,106","637,120","534,580","600,657","813,733","950,382","1,058,794","933,995","863,898","664,106","493,428","498,274","442,614","363,892","410,985","381,579","685,229","861,194"
"Salt, total (metric tonnes) 9","Quantity produced","1,082,868","1,096,727","742,455","1,003,601","1,050,349","1,136,160","1,066,993","946,899","1,020,134","893,229","1,131,679","1,214,987","1,122,692","907,299","628,397","1,009,987","1,091,610","1,125,676","877,991","855,659","1,113,069","1,299,461","1,315,136","1,171,294","1,184,901","1,056,065","793,616","1,069,275","1,028,098","937,347","1,021,388","1,058,022","1,102,056","1,100,677","1,144,391","1,040,028","1,187,729","933,747","498,516","875,681","796,820","804,151","821,481","896,751","851,758","993,849","1,084,116","912,010","1,030,899","922,316","687,690","664,144","583,575","490,081","450,880","496,771","719,093","823,745","771,781","755,125","923,857","774,308","460,447","759,973","692,195","655,024","691,849","677,344","948,079","939,352","1,010,215","1,015,174","1,188,838"
,"Quantity shipped","1,196,137","842,823","562,216","950,013","973,212","1,162,465","1,153,382","950,594","1,000,748","764,841","931,985","1,085,084","1,143,531","639,095","328,485","356,723","x","1,224,379","913,656","802,764","1,031,660","1,015,676","747,677","1,366,659","1,254,733","1,046,990","659,551","982,368","1,105,900","837,005","1,180,374","1,136,657","1,007,745","1,043,167","1,311,331","1,066,736","1,282,987","949,628","500,681","748,493","812,095","778,777","752,597","857,871","881,895","939,285","1,038,653","852,021","1,095,575","746,678","572,248","594,415","521,568","492,080","521,459","492,432","721,104","801,516","673,458","847,146","1,015,654","911,186","358,737","512,381","650,398","690,350","649,129","563,277","991,464","1,022,926","856,482","1,102,571","1,184,312"
,"Closing inventories","336,375","564,859","705,010","724,386","776,009","722,057","606,119","582,021","603,487","723,152","801,885","701,122","616,793","741,347","821,110","928,711","775,184","653,530","600,613","609,562","640,111","845,007","848,105","645,934","530,024","597,943","752,385","766,324","685,064","788,165","624,205","544,290","622,889","681,109","514,376","486,097","390,240","369,713","367,512","442,480","415,968","434,534","429,517","461,433","418,656","459,158","494,057","535,170","451,669","627,423","698,157","648,297","480,848","468,917","388,883","578,434","570,323","587,034","685,282","580,614","466,174","318,521","412,899","644,449","673,958","629,462","663,583","768,898","642,868","552,585","695,394","552,482","539,312"
"Salt, fine vaccum (metric tonnes)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Salt, in brine (metric tonnes)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Salt, rock (metric tonnes)","Quantity produced","996,586","1,017,745","666,083","922,993","968,474","1,049,290","991,554","864,148","948,431","809,076","1,050,852","1,130,840","1,035,849","833,091","541,512","931,732","x","1,027,600","767,055","763,862","1,052,493","1,234,316","1,249,644","1,106,606","1,123,320","999,755","732,748","1,008,416","946,760","850,784","926,983","976,247","1,030,116","1,027,278","1,071,834","979,303","1,115,283","868,580","436,579","818,777","738,987","737,691","763,610","833,547","792,892","915,510","1,015,768","843,796","955,754","849,467","613,268","590,997","502,840","411,041","368,965","424,596","646,380","757,891","703,615","685,037","855,967","711,741","393,625","685,461","596,163","571,660","610,342","598,140","876,987","864,564","937,692","944,782","1,113,859"
,"Quantity shipped","1,109,179","765,638","503,661","x","x","1,085,970","1,084,123","x","933,041","687,618","859,211","1,005,420","1,071,503","569,062","239,293","279,006","x","1,120,647","816,135","714,880","970,474","954,821","684,673","1,307,213","1,196,259","993,642","598,174","924,783","1,024,783","754,182","1,096,518","1,058,833","939,079","973,632","1,238,344","1,010,376","1,214,483","897,026","448,385","692,095","748,679","712,444","705,533","794,585","822,964","863,744","966,208","785,822","1,020,141","693,686","503,419","519,675","435,805","415,240","439,884","420,508","649,098","727,708","602,693","781,260","948,772","843,707","288,768","440,231","557,029","605,975","564,793","488,264","916,518","947,408","788,687","1,034,824","1,111,166"
,"Closing inventories","x","x","x","701,541","755,832","700,040","585,350","560,597","585,588","702,319","780,686","683,816","592,091","x","795,302","901,789","747,532","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"

Symbol legend:
.., not available for a specific reference period
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"The sum may not add up to the total due to rounding."
