"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
"Palladium, concentrates (grams)","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","2,793,000,000","2,741,000,000","2,552,000,000","2,838,000,000","2,422,000,000","2,815,000,000","2,856,000,000","3,263,000,000","3,020,000,000","2,743,000,000","2,864,000,000","2,559,000,000","2,699,000,000","2,574,000,000","2,614,000,000","2,497,000,000"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","2,838,000,000","2,706,000,000","2,765,000,000","2,595,000,000","2,393,000,000","2,524,000,000","3,055,000,000","3,418,000,000","2,997,000,000","2,792,000,000","2,956,000,000","2,701,000,000","2,588,000,000","2,472,000,000","1,698,000,000","3,374,000,000"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","319,000,000","354,000,000","141,000,000","384,000,000","414,000,000","705,000,000","505,000,000","350,000,000","373,000,000","324,000,000","232,000,000","91,000,000","202,000,000","303,000,000","1,219,000,000","342,000,000"
"Platinum group, recoverable (grams) 11","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","687,055","692,780","1,095,595","1,056,809","1,127,194","962,841","981,236","1,048,827","1,016,033","956,835","1,149,184","932,560","1,009,025","1,290,202","994,001","1,129,184","1,181,292","934,299","1,075,031","1,026,056","1,016,148","959,682","1,046,858","1,085,381","840,023","1,035,681","937,496","1,248,731","1,114,988","1,109,574","1,306,849","1,003,920","1,070,999","1,076,545","1,231,195","996,737","1,173,279","1,065,192","1,280,778","1,421,813","1,299,143","1,159,378","899,110","1,043,907","1,141,229","1,053,944","825,170","987,571","964,084","1,052,291","986,125","1,124,803","974,861","1,072,270","1,184,008","873,321","1,101,718","1,053,345","1,063,988","1,197,216"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","878,271","729,908","1,101,956","921,028","853,299","829,221","888,904","1,115,021","880,920","835,773","885,164","841,700","703,679","1,193,649","745,798","1,107,868","994,891","939,146","939,868","1,172,819","821,821","880,034","934,193","1,030,127","791,484","882,786","779,263","1,109,815","924,780","938,230","1,288,217","896,905","925,920","920,826","1,167,907","1,000,079","959,752","1,008,765","1,112,241","1,244,044","1,074,570","1,016,383","874,113","896,843","921,476","1,011,549","924,206","836,202","816,670","914,130","961,026","998,364","966,054","853,236","1,034,097","1,132,684","829,348","1,113,850","861,627","1,135,253"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Iridium, recoverable (grams) 5","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Palladium, recoverable (grams) 5","Quantity produced","x","x","156,068","x","x","x","x","x","x","x","x","x","..","x","x","x","x","x","x","847,871","912,685","888,568","836,892","996,892","809,946","876,137","1,143,090","854,389","965,608","1,024,692","x","929,839","900,709","885,218","838,907","921,999","x","x","906,139","x","1,057,733","955,180","x","x","863,883","922,176","925,816","1,068,584","881,113","x","933,669","x","1,203,214","1,122,105","989,346","x","906,338","985,324","932,805","725,486","874,152","845,636","947,998","886,579","983,310","871,319","928,251","1,027,277","774,445","950,982","897,627","895,804","1,034,387"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","..","x","x","x","x","x","x","749,961","957,433","757,631","732,103","777,079","729,094","592,568","1,051,354","639,508","940,889","861,323","x","801,424","1,021,817","711,306","765,748","807,979","x","x","771,916","x","937,579","787,763","x","1,109,267","771,066","791,991","778,055","1,009,506","852,875","849,916","868,731","x","1,084,915","x","x","x","x","810,139","885,409","809,333","733,569","711,502","819,990","858,744","875,657","854,587","752,583","895,869","992,681","720,655","940,064","694,967","977,465"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Platinum, recoverable (grams) 5","Quantity produced","x","x","31,655","x","x","x","x","x","x","x","x","x","..","x","x","x","x","x","x","133,365","136,142","127,465","119,943","152,292","122,614","132,888","147,112","139,612","163,576","156,600","x","145,192","125,347","130,930","120,775","124,859","107,324","x","129,542","x","190,998","159,808","119,897","x","140,037","148,823","150,729","162,611","115,624","x","131,523","x","218,599","177,038","170,032","x","137,569","155,905","121,139","99,684","113,419","118,448","104,293","99,546","141,493","103,542","144,019","156,731","98,876","150,736","155,718","168,184","162,829"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","..","x","x","x","x","x","x","138,943","157,588","123,289","103,670","108,085","112,606","111,111","142,295","106,290","166,979","133,568","x","138,444","151,002","110,515","114,286","126,214","x","x","110,870","72,616","172,236","137,017","x","178,950","125,839","133,929","142,771","158,401","147,204","109,836","140,034","x","159,129","x","x","80,614","x","111,337","126,140","114,873","102,633","105,168","94,140","102,282","122,707","111,467","100,653","138,228","140,003","108,693","173,786","166,660","157,788"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Rhodium, recoverable (grams) 5","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ruthenium, recoverable (grams) 5","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Platinum group, refined (grams) 4 11","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","215,591","169,628","332,654","280,604","217,221","266,654","2,101,093","1,994,555","337,510","338,419","399,530","343,374","110,523","801,930","751,564","672,558","1,343,946","1,431,774","1,629,415","1,370,726","1,222,798","1,648,467","1,446,355","1,077,758","840,970","1,354,662","1,336,642","1,081,128","1,030,929","522,035","757,538","849,036","674,963","1,091,090","925,218","1,027,315","1,027,161","994,286","765,582","760,854","585,087","168,891","1,040,350","979,542","1,151,574","749,906","1,429,700","932,297","591,371","693,548","949,589","1,030,657","976,246","787,466","515,908","465,892","876,983","568,719","1,001,828","434,048"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","215,591","169,628","332,654","280,604","217,221","266,654","2,101,093","1,994,555","345,628","346,919","396,077","369,998","104,240","779,629","765,965","667,737","1,367,772","1,454,805","1,654,631","1,392,485","1,213,045","1,677,287","1,432,925","1,069,298","830,300","1,345,673","1,338,260","1,077,405","1,012,702","532,175","763,230","836,035","690,048","1,060,017","960,552","1,025,355","1,024,423","988,749","772,518","758,801","591,774","149,514","1,052,045","986,976","1,141,746","722,130","1,467,926","828,380","673,266","703,781","864,365","1,125,169","873,728","787,467","515,909","464,834","868,926","568,004","1,001,006","433,308"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","56,794","48,294","82,798","55,800","62,083","84,383","69,921","74,741","10,012,573","148,194","122,979","101,221","110,974","82,153","95,583","49,579","60,249","69,237","67,619","71,342","22,799","12,659","6,967","19,968","4,883","35,956","622","2,582","6,470","11,944","5,008","7,060","374","19,751","8,056","622","10,450","38,227","0","103,917","22,022","11,789","97,012","2,500","109,205","109,204","109,203","119,500","127,557","128,270","129,092","129,832"
"Iridium, refined (grams) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","30,605"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","30,605"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Palladium, refined (grams) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","831,006","815,081","949,948","787,864","750,842","971,958","939,866","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","208,143"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","847,522","838,192","969,668","823,354","740,405","996,708","934,398","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","207,853"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","128,447"
"Platinum, refined (grams) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","481,461","586,736","630,741","562,285","437,207","634,165","468,849","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","169,267"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","488,896","586,766","636,355","548,669","437,901","638,342","460,997","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","168,817"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","0","x","x","x","x","x","x","x","1,385"
"Rhodium, refined (grams) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","7,309"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","x","x","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","7,309"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ruthenium, refined (grams) 4 5","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","18,724"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","18,724"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scandium, refined (kilograms) 10 12","Quantity produced","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x"
,"Quantity shipped","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","x"
"Selenium, refined (kilograms) 4","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","46,714","36,930","21,933","40,365","38,290","35,816","22,766","24,320","29,893","38,402","22,420","21,651","30,842","42,598","40,047","35,782"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","998","38,656","2,993","30,527","32,519","14,577","55,336","5,515","907","34,034","1,179","4,265","65,995","39,751","20,880","30,867"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","187,439","185,714","204,654","214,492","220,263","241,502","208,932","227,737","256,723","261,090","282,331","299,717","264,564","267,456","286,623","310,330"
"Silver, concentrates (kilograms)","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Silver, recoverable (kilograms)","Quantity produced","27,693","21,013","27,955","18,740","23,634","20,730","22,723","27,073","24,739","25,879","26,258","26,668","21,006","19,138","27,514","22,942","25,437","23,909","22,114","23,185","25,591","23,355","23,381","26,095","24,577","19,323","30,003","25,377","24,968","25,011","19,555","25,163","20,385","19,057","17,286","18,400","18,995","15,949","21,249","21,731","20,191","19,531","17,406","18,041","15,045","15,632","14,835","22,381","18,869","20,885","24,010","20,630","25,655","28,349","22,485","24,544","26,827","24,550","24,050","30,227","22,552","21,036","26,700","25,412","26,146","28,390","27,130","24,801","28,569","27,169","23,198","22,747","23,238"
,"Quantity shipped","26,358","20,519","28,549","17,890","23,195","19,363","14,770","23,797","26,790","21,594","26,973","26,533","16,894","18,916","30,351","19,969","25,746","26,137","20,539","19,785","25,933","28,661","18,522","27,250","18,497","16,143","28,160","17,794","24,109","26,561","18,412","24,460","24,072","17,181","13,277","22,217","17,277","15,907","23,232","16,829","25,177","20,866","11,658","24,486","16,154","13,106","13,671","29,901","16,213","16,839","25,151","20,051","23,432","30,361","19,857","21,991","30,575","20,414","22,183","31,495","19,072","18,428","29,578","22,106","27,058","31,181","29,157","25,636","31,708","27,799","26,207","26,888","16,212"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Silver, refined (kilograms) 4","Quantity produced","1,191,614","663,846","261,485","362,649","310,904","515,886","754,414","640,096","674,803","479,071","250,476","676,938","x","580,010","719,073","997,995","519,509","332,089","222,872","418,123","559,267","647,783","681,865","693,337","542,686","595,671","336,287","320,791","x","597,178","583,659","774,587","641,381","x","x","699,564","510,084","819,660","x","x","946,629","681,117","851,541","621,677","705,346","878,423","706,504","x","x","1,036,312","702,415","489,626","x","x","851,164","x","489,114","340,786","378,357","x","344,476","784,258","x","327,523","351,252","302,186","480,475","555,850","606,922","313,856","167,921","186,049","165,151"
,"Quantity shipped","1,174,993","686,804","629,395","241,357","373,009","573,797","755,215","610,183","626,525","504,457","181,648","629,630","x","631,999","747,245","978,264","547,937","328,097","257,025","368,092","531,423","663,122","669,232","639,551","566,246","549,788","278,115","309,974","497,071","546,573","620,069","759,764","613,013","418,127","454,218","589,273","530,863","752,307","1,038,669","657,231","883,700","636,549","780,297","615,660","653,786","x","707,699","1,205,046","x","x","x","363,592","x","x","936,601","506,971","627,366","193,777","360,428","x","357,373","569,889","x","361,788","340,691","185,916","569,689","648,518","732,939","377,614","156,117","199,152","211,916"
,"Closing inventories","727,324","704,366","336,477","457,767","395,662","337,751","336,950","366,863","415,141","364,503","433,332","480,640","x","x","396,545","426,681","398,253","402,244","368,092","418,123","445,967","393,703","406,336","510,234","486,674","541,042","501,268","512,085","486,219","474,404","437,993","452,817","481,185","436,543","423,951","534,242","432,835","500,188","529,854","x","x","x","619,447","x","x","614,005","x","542,334","x","x","466,093","592,125","498,592","560,637","475,200","x","416,350","563,357","x","509,969","497,071","711,441","515,693","481,428","x","x","x","x","x","x","418,941","x","359,072"
"Tantalum, concentrates (kilograms) 5","Quantity produced","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Quantity shipped","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"Closing inventories","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tellurium, refined (kilograms) 4 5","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","0","x","0","x","x","x","x","952","2,773","1,835","6,640","3,788","956","3,822","3,790","3,787","1,838","3,610","6,610","5,697","1,913","5,604","5,723"
,"Quantity shipped","0","0","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","x","0","0","0","x","x","0","x","x","0","x","0","x","0","0","0","x","x","x","0","8,605","3,750","0","5,649","0","0","7,561","0","0","11,341","0","12,151","0","0","0"
,"Closing inventories","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","10,528","4,696","2,781","9,422","7,561","8,517","12,339","8,569","12,356","14,194","6,463","13,073","6,619","8,533","14,137","14,256"
"Titanium dioxide (metric tonnes) 5","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","x","x","x","x","x","x","0","0","0","0","0","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","x","0","x","x","0","0","0","0","0","0","0","0","0","x"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","x","0","x","x","x","x","x","x","x","x","0","0","0","0","0","x","x","x","x","x","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Uranium, concentrates (kilograms)","Quantity produced","x","x","x","0","0","0","0","0","x","x","x","x","0","0","0","0","242,681","241,609","241,609","168,560","149,608","448,027","261,806","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","190,452","272,109","0","0","0","0","0","15,647","153,859","298,101","283,447","113,379","0","0","0","113,379","272,109","113,379","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Closing inventories","x","x","x","0","0","0","0","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"Uranium, recoverable (kilograms) 5","Quantity produced","x","x","x","0","0","0","0","0","x","x","x","x","0","0","0","0","96,162","230,788","96,162","142,964","126,889","379,992","222,050","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
,"Quantity shipped","x","x","x","0","0","0","0","0","x","x","x","x","x","0","0","0","x","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
