"Production of metallic minerals in quantities, monthly c 1 2 3"
"Frequency: Monthly"
"Table: 16-10-0019-01"
"Release date: 2026-03-20"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Canada 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Variables","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Quantity shipped","456,528","443,570","466,786","367,054","520,922","507,962","534,999","512,024","595,803","455,569","552,380","536,584","x","x","x","x","x","x","x","x","558,961","403,543","567,698","497,451","472,102","390,710","531,681","310,433","420,961","239,218","341,461","370,964","523,946","404,202","461,691","424,696","1,034,339","373,956","496,189","345,966","424,936","745,388","419,681","323,083","433,701","415,687","430,699","478,190","431,454","358,466","427,685","435,699","x","x","508,696","449,448","594,173","492,433","517,446","547,182","551,684","384,948","397,451","487,940","479,200","607,184","533,444","493,460","463,215","594,862","503,931","599,444","613,194"
,"Closing inventories","117,517","123,516","157,761","238,747","297,735","301,723","153,248","135,500","118,250","138,240","144,236","134,487","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","94,358","77,361","59,364","41,367","23,370","5,373"
"Copper, concentrates (kilograms)","Quantity produced","144,166,114","152,946,802","148,036,002","115,144,518","139,427,121","123,729,413","136,245,976","144,684,250","139,426,034","145,194,863","140,461,635","165,421,460","143,093,569","131,868,941","147,252,856","130,507,699","146,046,571","136,555,912","121,702,876","124,910,036","125,943,966","119,706,768","131,970,926","121,423,014","109,384,281","117,658,313","130,019,647","134,380,430","127,402,344","128,743,262","118,641,222","127,762,555","116,998,598","113,555,067","112,339,219","114,928,228","120,990,980","99,647,338","118,421,324","111,711,307","116,907,242","120,788,327","103,998,762","123,326,842","142,339,109","129,806,315","132,135,818","152,863,106","141,019,471","144,510,459","148,845,233","140,625,348","145,598,023","126,636,617","129,776,639","127,341,327","123,171,393","145,055,159","143,780,938","156,413,117","141,663,449","143,300,463","154,770,307","141,918,859","154,884,381","154,630,530","162,625,464","138,986,203","141,374,570","163,967,703","162,878,208","185,407,333","162,589,917"
,"Quantity shipped","133,284,429","154,247,568","152,986,798","94,565,770","145,556,315","134,796,340","99,191,440","122,789,677","171,961,135","106,958,429","162,800,542","172,913,899","118,144,699","139,755,989","175,621,563","112,612,117","115,027,340","167,547,810","117,748,924","110,425,545","163,419,828","99,144,440","106,729,982","146,515,467","86,199,731","105,276,163","172,337,666","90,540,321","143,547,836","153,635,935","107,358,482","121,182,103","149,565,118","102,117,805","50,679,263","172,397,073","90,303,166","86,937,150","160,181,303","77,738,812","139,971,247","122,053,537","69,845,726","119,680,426","173,330,850","108,942,578","111,522,950","180,898,298","121,160,168","131,536,965","195,881,665","131,324,721","141,021,349","144,667,259","113,142,684","99,236,735","174,904,045","96,645,332","149,491,051","193,259,995","110,329,204","129,803,458","192,775,262","113,012,703","150,467,710","186,335,328","170,202,366","118,176,367","174,182,681","112,273,622","184,232,205","182,079,003","138,265,516"
,"Closing inventories","67,093,437","76,126,213","53,803,282","89,903,936","83,849,236","50,566,310","89,621,104","99,695,677","69,423,379","107,970,720","85,380,906","80,197,467","100,815,059","93,652,011","60,375,304","86,062,886","117,168,817","83,922,327","87,304,279","101,786,863","63,644,001","84,786,421","108,641,365","87,195,913","110,382,463","115,413,627","73,972,609","117,307,440","101,161,041","75,759,194","87,042,933","93,623,386","59,987,755","72,725,924","134,384,880","70,377,771","101,065,585","113,774,773","72,014,794","82,781,289","59,717,284","58,452,074","123,183,022","126,828,438","72,814,697","93,240,434","113,853,302","85,614,110","105,589,508","114,842,002","66,552,602","75,902,229","79,904,903","62,292,167","78,638,121","106,730,528","54,995,248","103,406,984","97,691,872","61,430,174","91,196,418","103,542,424","64,745,376","93,724,532","98,452,202","66,179,403","60,550,500","81,803,426","48,752,384","97,925,464","76,526,468","79,735,798","104,094,201"
"Copper, recoverable (kilograms) 5","Quantity produced","46,211,338","43,146,363","56,869,402","36,516,656","46,334,529","52,214,282","41,325,287","51,931,269","47,041,683","55,654,716","54,932,686","52,430,572","45,936,235","46,571,316","54,566,206","55,143,421","55,608,348","45,120,335","38,585,044","35,987,402","46,634,226","42,896,871","41,521,092","41,847,719","43,286,702","45,213,141","46,019,933","48,745,459","50,218,191","44,231,611","36,677,893","44,935,016","39,410,758","36,502,436","38,893,322","45,556,809","39,523,177","35,038,577","44,969,153","39,074,036","41,345,113","43,122,534","29,253,576","40,571,217","40,385,003","42,359,648","52,404,064","51,745,113","37,669,287","40,962,516","49,794,790","41,710,333","44,261,565","32,129,520","32,714,337","29,283,816","35,430,465","38,344,876","33,231,176","42,143,105","35,010,625","32,922,172","40,067,469","35,853,278","36,304,193","39,517,636","38,717,970","30,474,872","36,225,748","39,293,785","39,695,006","43,649,722","40,975,280"
,"Quantity shipped","36,120,054","54,249,400","73,160,022","43,929,519","62,426,802","67,892,241","46,286,767","56,387,554","70,725,646","51,305,405","67,343,934","66,755,851","48,860,378","54,849,570","71,690,261","58,179,803","56,648,083","63,953,538","50,063,319","50,582,013","67,636,016","50,980,253","43,333,232","59,286,136","42,063,572","53,618,265","70,770,584","48,599,330","60,278,646","61,255,037","43,278,352","53,107,531","60,885,642","47,741,526","33,296,810","72,909,601","40,418,331","42,999,516","66,387,747","43,214,521","56,640,757","54,433,116","28,624,870","57,848,593","61,164,336","56,208,548","60,057,997","68,466,590","44,550,859","50,720,861","76,563,964","49,711,243","53,519,107","37,997,125","23,108,822","24,104,995","65,236,006","36,053,777","34,874,303","48,940,398","28,836,650","30,702,847","50,531,047","30,094,470","34,376,546","46,313,100","39,865,640","26,995,645","44,044,359","26,454,686","45,868,014","44,083,431","31,957,832"
,"Closing inventories","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Copper, refined (kilograms) 4 5","Quantity produced","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","27,194,075","28,590,659","28,367,597","26,960,248","25,594,986","28,696,443","25,850,507","27,649,866","27,199,077","27,481,836","27,602,058","27,399,792","28,093,706","27,802,558","27,067,664","26,164,731"
,"Quantity shipped","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","26,969,453","27,122,270","26,104,574","33,738,854","25,450,934","24,483,144","29,143,621","27,572,039","26,055,853","29,406,278","20,591,474","30,338,652","27,510,834","25,937,844","24,473,663","29,562,461"
